大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
赫尔辛基大学	University of Helsinki	芬兰, 欧洲	USNEWS世界大学排名	2021	86	86
阿尔托大学	Aalto University	芬兰, 欧洲	USNEWS世界大学排名	2021	264	264
图尔库大学	University of Turku	芬兰, 欧洲	USNEWS世界大学排名	2021	322	322
坦佩雷大学	University of Tampere	芬兰, 欧洲	USNEWS世界大学排名	2021	361	361
东芬兰大学	University of Eastern Finland	芬兰, 欧洲	USNEWS世界大学排名	2021	412	412
奥卢大学	University of Oulu	芬兰, 欧洲	USNEWS世界大学排名	2021	453	453
于韦斯屈莱大学	University of Jyvaskyla	芬兰, 欧洲	USNEWS世界大学排名	2021	525	525
拉普兰塔理工大学	Lappeenranta University of Technology	芬兰, 欧洲	USNEWS世界大学排名	2021	580	580
埃博学术大学	Bo Akademi University	芬兰, 欧洲	USNEWS世界大学排名	2021	976	976
