大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
普渡大学-西拉法叶	Purdue University, West Lafayette	美国, 北美洲	USNEWS世界大学排名	2015	69	69
萨克雷大学(巴黎第十一大学)	Universite Paris Saclay (university of Paris-sud, Paris 11)	法国, 欧洲	USNEWS世界大学排名	2015	69	69
洛克菲勒大学	Rockefeller University	美国, 北美洲	USNEWS世界大学排名	2015	71	71
澳大利亚国立大学	The Australian National University	澳大利亚, 大洋洲	USNEWS世界大学排名	2015	72	72
首尔国立大学	Seoul National University	韩国, 亚洲	USNEWS世界大学排名	2015	72	72
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	USNEWS世界大学排名	2015	74	74
莱顿大学	Leiden University	荷兰, 欧洲	USNEWS世界大学排名	2015	75	75
密歇根州立大学	Michigan State University	美国, 北美洲	USNEWS世界大学排名	2015	75	75
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	USNEWS世界大学排名	2015	77	77
柏林洪堡大学	Humboldt University of Berlin	德国, 欧洲	USNEWS世界大学排名	2015	77	77
圣保罗大学	University of Sao Paulo	巴西, 南美洲	USNEWS世界大学排名	2015	77	77
阿姆斯特丹大学	University of Amsterdam	荷兰, 欧洲	USNEWS世界大学排名	2015	80	80
柏林自由大学	Free University of Berlin	德国, 欧洲	USNEWS世界大学排名	2015	81	81
布里斯托尔大学	University of Bristol	英国, 欧洲	USNEWS世界大学排名	2015	82	82
苏黎世大学	University of Zurich	瑞士, 欧洲	USNEWS世界大学排名	2015	83	83
埃莫里大学	Emory University	美国, 北美洲	USNEWS世界大学排名	2015	84	84
伊拉兹马斯大学	Erasmus University Rotterdam	荷兰, 欧洲	USNEWS世界大学排名	2015	84	84
德州农工大学	Texas A&m University	美国, 北美洲	USNEWS世界大学排名	2015	86	86
根特大学	Ghent University	比利时, 欧洲	USNEWS世界大学排名	2015	87	87
莫纳什大学	Monash University	澳大利亚, 大洋洲	USNEWS世界大学排名	2015	88	88
莱斯大学	Rice University	美国, 北美洲	USNEWS世界大学排名	2015	89	89
范德堡大学	Vanderbilt University	美国, 北美洲	USNEWS世界大学排名	2015	89	89
伦敦大学卫生和热带医学学院	London School of Hygiene & Tropical Medicine	英国, 欧洲	USNEWS世界大学排名	2015	91	91
塔夫茨大学	Tufts University	美国, 北美洲	USNEWS世界大学排名	2015	91	91
哥廷根大学	University of Goettingen	德国, 欧洲	USNEWS世界大学排名	2015	93	93
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	USNEWS世界大学排名	2015	94	94
新南威尔士大学	The University of New South Wales	澳大利亚, 大洋洲	USNEWS世界大学排名	2015	94	94
巴塞罗那大学	University of Barcelona	西班牙, 欧洲	USNEWS世界大学排名	2015	96	96
蒙特利尔大学	University of Montreal	加拿大, 北美洲	USNEWS世界大学排名	2015	96	96
隆德大学	Lund University	瑞典, 欧洲	USNEWS世界大学排名	2015	98	98
格罗宁根大学	University of Groningen	荷兰, 欧洲	USNEWS世界大学排名	2015	98	98
赫尔辛基大学	University of Helsinki	芬兰, 欧洲	USNEWS世界大学排名	2015	100	100
