大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
哈佛大学	Harvard University	美国, 北美洲	USNEWS世界大学排名	2021	1	1
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	USNEWS世界大学排名	2021	2	2
斯坦福大学	Stanford University	美国, 北美洲	USNEWS世界大学排名	2021	3	3
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	USNEWS世界大学排名	2021	4	4
牛津大学	University of Oxford	英国, 欧洲	USNEWS世界大学排名	2021	5	5
哥伦比亚大学	Columbia University	美国, 北美洲	USNEWS世界大学排名	2021	6	6
加州理工学院	California Institute of Technology	美国, 北美洲	USNEWS世界大学排名	2021	7	7
华盛顿大学-西雅图	University of Washington	美国, 北美洲	USNEWS世界大学排名	2021	8	8
剑桥大学	University of Cambridge	英国, 欧洲	USNEWS世界大学排名	2021	9	9
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	USNEWS世界大学排名	2021	10	10
普林斯顿大学	Princeton University	美国, 北美洲	USNEWS世界大学排名	2021	11	11
耶鲁大学	Yale University	美国, 北美洲	USNEWS世界大学排名	2021	11	11
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	USNEWS世界大学排名	2021	13	13
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	USNEWS世界大学排名	2021	14	14
加州大学-旧金山	University of California, San Francisco	美国, 北美洲	USNEWS世界大学排名	2021	15	15
芝加哥大学	University of Chicago	美国, 北美洲	USNEWS世界大学排名	2021	15	15
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	USNEWS世界大学排名	2021	17	17
多伦多大学	University of Toronto	加拿大, 北美洲	USNEWS世界大学排名	2021	17	17
伦敦大学学院	University College London	英国, 欧洲	USNEWS世界大学排名	2021	19	19
帝国理工学院	Imperial College London	英国, 欧洲	USNEWS世界大学排名	2021	20	20
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	USNEWS世界大学排名	2021	21	21
康奈尔大学	Cornell University	美国, 北美洲	USNEWS世界大学排名	2021	22	22
杜克大学	Duke University	美国, 北美洲	USNEWS世界大学排名	2021	23	23
西北大学，埃文斯顿	Northwestern University	美国, 北美洲	USNEWS世界大学排名	2021	24	24
墨尔本大学	The University of Melbourne	澳大利亚, 大洋洲	USNEWS世界大学排名	2021	25	25
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	USNEWS世界大学排名	2021	26	26
悉尼大学	The University of Sydney	澳大利亚, 大洋洲	USNEWS世界大学排名	2021	27	27
清华大学	Tsinghua University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	USNEWS世界大学排名	2021	28	28
纽约大学	New York University	美国, 北美洲	USNEWS世界大学排名	2021	29	29
爱丁堡大学	The University of Edinburgh	英国, 欧洲	USNEWS世界大学排名	2021	30	30
英属哥伦比亚大学	University of British Columbia	加拿大, 北美洲	USNEWS世界大学排名	2021	31	31
新加坡国立大学	National University of Singapore	新加坡, 亚洲	USNEWS世界大学排名	2021	32	32
华盛顿大学-圣路易斯	Washington University In St. Louis	美国, 北美洲	USNEWS世界大学排名	2021	33	33
伦敦国王学院	King's College London	英国, 欧洲	USNEWS世界大学排名	2021	34	34
哥本哈根大学	University of Copenhagen	丹麦, 欧洲	USNEWS世界大学排名	2021	34	34
北卡罗来纳大学-教堂山	University of North Carolina At Chapel Hill	美国, 北美洲	USNEWS世界大学排名	2021	36	36
昆士兰大学	The University of Queensland	澳大利亚, 大洋洲	USNEWS世界大学排名	2021	36	36
南洋理工大学	Nanyang Technological University	新加坡, 亚洲	USNEWS世界大学排名	2021	38	38
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	USNEWS世界大学排名	2021	38	38
阿姆斯特丹大学	University of Amsterdam	荷兰, 欧洲	USNEWS世界大学排名	2021	40	40
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	USNEWS世界大学排名	2021	41	41
阿卜杜勒阿齐兹国王大学	King Abdulaziz University	沙特, 亚洲	USNEWS世界大学排名	2021	42	42
索邦大学	Sorbonne University	法国, 欧洲	USNEWS世界大学排名	2021	43	43
匹兹堡大学	University of Pittsburgh	美国, 北美洲	USNEWS世界大学排名	2021	43	43
俄亥俄州立大学-哥伦布	The Ohio State University, Columbus	美国, 北美洲	USNEWS世界大学排名	2021	45	45
慕尼黑大学	University of Munich	德国, 欧洲	USNEWS世界大学排名	2021	46	46
明尼苏达大学-双城	University of Minnesota, Twin Cities	美国, 北美洲	USNEWS世界大学排名	2021	47	47
鲁汶大学，佛兰德语	Ku Leuven	比利时, 欧洲	USNEWS世界大学排名	2021	48	48
卡罗林斯卡学院	Karolinska Institute	瑞典, 欧洲	USNEWS世界大学排名	2021	48	48
莫纳什大学	Monash University	澳大利亚, 大洋洲	USNEWS世界大学排名	2021	48	48
麦吉尔大学	Mcgill University	加拿大, 北美洲	USNEWS世界大学排名	2021	51	51
北京大学	Peking University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	USNEWS世界大学排名	2021	51	51
新南威尔士大学	The University of New South Wales	澳大利亚, 大洋洲	USNEWS世界大学排名	2021	51	51
海德堡大学	Heidelberg University	德国, 欧洲	USNEWS世界大学排名	2021	54	54
乌得勒支大学	Utrecht University	荷兰, 欧洲	USNEWS世界大学排名	2021	54	54
加州大学-圣塔芭芭拉	University of California, Santa Barbara	美国, 北美洲	USNEWS世界大学排名	2021	56	56
波士顿大学	Boston University	美国, 北美洲	USNEWS世界大学排名	2021	57	57
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	USNEWS世界大学排名	2021	58	58
科罗拉多大学-玻尔得	University of Colorado At Boulder	美国, 北美洲	USNEWS世界大学排名	2021	59	59
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	USNEWS世界大学排名	2021	60	60
马里兰大学-大学城	University of Maryland, College Park	美国, 北美洲	USNEWS世界大学排名	2021	60	60
西奈山医学院	Icahn School of Medicine At Mount Sinai	美国, 北美洲	USNEWS世界大学排名	2021	62	62
苏黎世大学	University of Zurich	瑞士, 欧洲	USNEWS世界大学排名	2021	62	62
澳大利亚国立大学	The Australian National University	澳大利亚, 大洋洲	USNEWS世界大学排名	2021	64	64
曼彻斯特大学	The University of Manchester	英国, 欧洲	USNEWS世界大学排名	2021	64	64
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	USNEWS世界大学排名	2021	66	66
加州大学-戴维斯	University of California, Davis	美国, 北美洲	USNEWS世界大学排名	2021	66	66
伊拉兹马斯大学	Erasmus University Rotterdam	荷兰, 欧洲	USNEWS世界大学排名	2021	68	68
巴黎大学	Université De Paris	法国, 欧洲	USNEWS世界大学排名	2021	68	68
南加州大学	University of Southern California	美国, 北美洲	USNEWS世界大学排名	2021	70	70
埃莫里大学	Emory University	美国, 北美洲	USNEWS世界大学排名	2021	71	71
范德堡大学	Vanderbilt University	美国, 北美洲	USNEWS世界大学排名	2021	72	72
阿德雷德大学	The University of Adelaide	澳大利亚, 大洋洲	USNEWS世界大学排名	2021	73	73
东京大学	The University of Tokyo	日本, 亚洲	USNEWS世界大学排名	2021	73	73
宾夕法尼亚州立大学-大学城	Pennsylvania State University, University Park	美国, 北美洲	USNEWS世界大学排名	2021	75	75
洛克菲勒大学	Rockefeller University	美国, 北美洲	USNEWS世界大学排名	2021	76	76
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	USNEWS世界大学排名	2021	76	76
加州大学-欧文	University of California, Irvine	美国, 北美洲	USNEWS世界大学排名	2021	78	78
西澳大利亚大学	The University of Western Australia	澳大利亚, 大洋洲	USNEWS世界大学排名	2021	79	79
阿姆斯特丹自由大学	Vu University Amsterdam	荷兰, 欧洲	USNEWS世界大学排名	2021	80	80
加州大学-圣克鲁兹	University of California, Santa Cruz	美国, 北美洲	USNEWS世界大学排名	2021	81	81
柏林洪堡大学	Humboldt University of Berlin	德国, 欧洲	USNEWS世界大学排名	2021	82	82
香港大学	The University of Hong Kong	中国香港, 亚洲	USNEWS世界大学排名	2021	83	83
瓦格宁根大学	University of Wageningen	荷兰, 欧洲	USNEWS世界大学排名	2021	83	83
根特大学	Ghent University	比利时, 欧洲	USNEWS世界大学排名	2021	85	85
莱顿大学	Leiden University	荷兰, 欧洲	USNEWS世界大学排名	2021	86	86
布里斯托尔大学	University of Bristol	英国, 欧洲	USNEWS世界大学排名	2021	86	86
格拉斯哥大学	The University of Glasgow	英国, 欧洲	USNEWS世界大学排名	2021	86	86
赫尔辛基大学	University of Helsinki	芬兰, 欧洲	USNEWS世界大学排名	2021	86	86
巴塞罗那大学	University of Barcelona	西班牙, 欧洲	USNEWS世界大学排名	2021	90	90
奥斯陆大学	University of Oslo	挪威, 欧洲	USNEWS世界大学排名	2021	90	90
伯明翰大学	University of Birmingham	英国, 欧洲	USNEWS世界大学排名	2021	92	92
格罗宁根大学	University of Groningen	荷兰, 欧洲	USNEWS世界大学排名	2021	92	92
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	USNEWS世界大学排名	2021	94	94
香港中文大学	The Chinese University of Hong Kong	中国香港, 亚洲	USNEWS世界大学排名	2021	95	95
日内瓦大学	University of Geneva	瑞士, 欧洲	USNEWS世界大学排名	2021	96	96
亚利桑那大学	University of Arizona	美国, 北美洲	USNEWS世界大学排名	2021	97	97
南安普敦大学	University of Southampton	英国, 欧洲	USNEWS世界大学排名	2021	97	97
隆德大学	Lund University	瑞典, 欧洲	USNEWS世界大学排名	2021	99	99
密歇根州立大学	Michigan State University	美国, 北美洲	USNEWS世界大学排名	2021	100	100
