大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
斯坦福大学	Stanford University	美国, 北美洲	计算机科学	2021	1	1
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	计算机科学	2021	2	2
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	计算机科学	2021	3	3
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	计算机科学	2021	5	5
华盛顿大学-西雅图	University of Washington	美国, 北美洲	计算机科学	2021	9	9
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	计算机科学	2021	10	10
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	计算机科学	2021	13	13
康奈尔大学	Cornell University	美国, 北美洲	计算机科学	2021	14	14
哈佛大学	Harvard University	美国, 北美洲	计算机科学	2021	16	16
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	计算机科学	2021	18	18
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	计算机科学	2021	21	21
马里兰大学-大学城	University of Maryland, College Park	美国, 北美洲	计算机科学	2021	22	22
哥伦比亚大学	Columbia University	美国, 北美洲	计算机科学	2021	24	24
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	计算机科学	2021	27	27
南加州大学	University of Southern California	美国, 北美洲	计算机科学	2021	32	32
普林斯顿大学	Princeton University	美国, 北美洲	计算机科学	2021	33	33
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	计算机科学	2021	34	34
纽约大学	New York University	美国, 北美洲	计算机科学	2021	38	38
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	计算机科学	2021	39	39
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	计算机科学	2021	43	43
北卡罗来纳大学-教堂山	University of North Carolina At Chapel Hill	美国, 北美洲	计算机科学	2021	45	45
普渡大学-西拉法叶	Purdue University, West Lafayette	美国, 北美洲	计算机科学	2021	57	57
加州理工学院	California Institute of Technology	美国, 北美洲	计算机科学	2021	61	61
宾夕法尼亚州立大学-大学城	Pennsylvania State University, University Park	美国, 北美洲	计算机科学	2021	62	62
密歇根州立大学	Michigan State University	美国, 北美洲	计算机科学	2021	63	63
亚利桑那州立大学	Arizona State University	美国, 北美洲	计算机科学	2021	65	65
加州大学-欧文	University of California, Irvine	美国, 北美洲	计算机科学	2021	65	65
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	计算机科学	2021	67	67
罗格斯大学新布朗斯维克分校	Rutgers, The State University of New Jersey - New Brunswick	美国, 北美洲	计算机科学	2021	68	68
加州大学-圣塔芭芭拉	University of California, Santa Barbara	美国, 北美洲	计算机科学	2021	82	82
东北大学，波士顿	Northeastern University, Boston	美国, 北美洲	计算机科学	2021	84	84
杜克大学	Duke University	美国, 北美洲	计算机科学	2021	85	85
俄亥俄州立大学-哥伦布	The Ohio State University, Columbus	美国, 北美洲	计算机科学	2021	85	85
明尼苏达大学-双城	University of Minnesota, Twin Cities	美国, 北美洲	计算机科学	2021	94	94
弗吉尼亚理工学院	Virginia Polytechnic Institute And State University	美国, 北美洲	计算机科学	2021	97	97
加州大学-戴维斯	University of California, Davis	美国, 北美洲	计算机科学	2021	102	102
马萨诸塞大学-阿默斯特	University of Massachusetts Amherst	美国, 北美洲	计算机科学	2021	102	102
布朗大学	Brown University	美国, 北美洲	计算机科学	2021	106	106
波士顿大学	Boston University	美国, 北美洲	计算机科学	2021	107	107
芝加哥大学	University of Chicago	美国, 北美洲	计算机科学	2021	110	110
佛罗里达大学	University of Florida	美国, 北美洲	计算机科学	2021	117	117
印第安纳大学-布鲁明顿	Indiana University Bloomington	美国, 北美洲	计算机科学	2021	119	119
德州农工大学	Texas A&m University	美国, 北美洲	计算机科学	2021	123	123
