大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
清华大学	Tsinghua University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	计算机科学	2020	1	1
南洋理工大学	Nanyang Technological University	新加坡, 亚洲	计算机科学	2020	2	2
阿卜杜勒阿齐兹国王大学	King Abdulaziz University	沙特, 亚洲	计算机科学	2020	3	3
新加坡国立大学	National University of Singapore	新加坡, 亚洲	计算机科学	2020	4	4
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	计算机科学	2020	5	5
东南大学	Southeast University	中国, 亚洲, 双一流, 985, 211, 江苏, 综合类, 公立	计算机科学	2020	6	6
上海交通大学	Shanghai Jiao Tong University	中国, 亚洲, C9, 双一流, 985, 211, 上海, 综合类, 公立	计算机科学	2020	7	7
华中科技大学	Huazhong University of Science And Technology	中国, 亚洲, 双一流, 985, 211, 湖北, 综合类, 公立	计算机科学	2020	8	8
斯坦福大学	Stanford University	美国, 北美洲	计算机科学	2020	9	9
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	计算机科学	2020	10	10
浙江大学	Zhejiang University	中国, 亚洲, C9, 双一流, 985, 211, 浙江, 综合类, 公立	计算机科学	2020	11	11
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	计算机科学	2020	12	12
香港城市大学	City University of Hong Kong	中国香港, 亚洲	计算机科学	2020	13	13
英属哥伦比亚大学	University of British Columbia	加拿大, 北美洲	计算机科学	2020	14	14
普林斯顿大学	Princeton University	美国, 北美洲	计算机科学	2020	15	15
北京大学	Peking University	中国, 亚洲, C9, 双一流, 985, 211, 北京, 综合类, 公立	计算机科学	2020	16	16
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	计算机科学	2020	17	17
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	计算机科学	2020	18	18
香港科技大学	The Hong Kong University of Science And Technology	中国香港, 亚洲	计算机科学	2020	18	18
滑铁卢大学	University of Waterloo	加拿大, 北美洲	计算机科学	2020	20	20
哈尔滨工业大学	Harbin Institute of Technology	中国, 亚洲, C9, 双一流, 985, 211, 黑龙江, 理工类, 公立	计算机科学	2020	21	21
西安电子科技大学	Xidian University	中国, 亚洲, 211, 陕西, 理工类, 公立	计算机科学	2020	22	22
北京邮电大学	Beijing University of Posts And Telecommunications	中国, 亚洲, 211, 北京, 理工类, 公立	计算机科学	2020	23	23
南加州大学	University of Southern California	美国, 北美洲	计算机科学	2020	24	24
悉尼科技大学	University of Technology Sydney	澳大利亚, 大洋洲	计算机科学	2020	25	25
电子科技大学	University of Electronic Science And Technology of China	中国, 亚洲, 双一流, 985, 211, 四川, 理工类, 公立	计算机科学	2020	26	26
南京信息工程大学	Nanjing University of Information Science And Technology	中国, 亚洲, 江苏, 理工类, 公立	计算机科学	2020	27	27
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	计算机科学	2020	28	28
香港中文大学	The Chinese University of Hong Kong	中国香港, 亚洲	计算机科学	2020	29	29
新南威尔士大学	The University of New South Wales	澳大利亚, 大洋洲	计算机科学	2020	30	30
多伦多大学	University of Toronto	加拿大, 北美洲	计算机科学	2020	31	31
伦敦大学学院	University College London	英国, 欧洲	计算机科学	2020	32	32
阿尔托大学	Aalto University	芬兰, 欧洲	计算机科学	2020	33	33
中国科学技术大学	University of Science And Technology of China	中国, 亚洲, C9, 双一流, 985, 211, 安徽, 理工类, 公立	计算机科学	2020	34	34
阿德雷德大学	The University of Adelaide	澳大利亚, 大洋洲	计算机科学	2020	35	35
帝国理工学院	Imperial College London	英国, 欧洲	计算机科学	2020	36	36
马来亚大学	University of Malaya	马来西亚, 亚洲	计算机科学	2020	37	37
格拉纳达大学	University of Granada	西班牙, 欧洲	计算机科学	2020	38	38
武汉大学	Wuhan University	中国, 亚洲, 双一流, 985, 211, 湖北, 综合类, 公立	计算机科学	2020	39	39
香港理工大学	The Hong Kong Polytechnic University	中国香港, 亚洲	计算机科学	2020	40	40
悉尼大学	The University of Sydney	澳大利亚, 大洋洲	计算机科学	2020	41	41
澳大利亚国立大学	The Australian National University	澳大利亚, 大洋洲	计算机科学	2020	42	42
慕尼黑工业大学	Technical University of Munich	德国, 欧洲	计算机科学	2020	43	43
北京航空航天大学	Beihang University	中国, 亚洲, 双一流, 985, 211, 北京, 理工类, 公立	计算机科学	2020	44	44
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	计算机科学	2020	45	45
法国巴黎中央理工-高等电力学院	Centralesupelec	法国, 欧洲	计算机科学	2020	46	46
哈佛大学	Harvard University	美国, 北美洲	计算机科学	2020	47	47
皇家理工学院	Kth Royal Institute of Technology	瑞典, 欧洲	计算机科学	2020	48	48
墨尔本大学	The University of Melbourne	澳大利亚, 大洋洲	计算机科学	2020	49	49
哥伦比亚大学	Columbia University	美国, 北美洲	计算机科学	2020	50	50
新加坡科技设计大学	Singapore University of Technology & Design	新加坡, 亚洲	计算机科学	2020	51	51
韩国科学技术院	Korea Advanced Institute of Science And Technology	韩国, 亚洲	计算机科学	2020	52	52
加泰罗尼亚理工大学	Polytechnic University of Catalonia	西班牙, 欧洲	计算机科学	2020	53	53
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	计算机科学	2020	54	54
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	计算机科学	2020	55	55
沙特国王大学	King Saud University	沙特, 亚洲	计算机科学	2020	56	56
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	计算机科学	2020	57	57
弗吉尼亚理工学院	Virginia Polytechnic Institute And State University	美国, 北美洲	计算机科学	2020	58	58
纽约大学	New York University	美国, 北美洲	计算机科学	2020	59	59
林雪平大学	Linkoping University	瑞典, 欧洲	计算机科学	2020	60	60
代尔夫特理工大学	Delft University of Technology	荷兰, 欧洲	计算机科学	2020	61	61
南京大学	Nanjing University	中国, 亚洲, C9, 双一流, 985, 211, 江苏, 综合类, 公立	计算机科学	2020	62	62
普渡大学-西拉法叶	Purdue University, West Lafayette	美国, 北美洲	计算机科学	2020	63	63
西安交通大学	Xian Jiaotong University	中国, 亚洲, C9, 双一流, 985, 211, 陕西, 综合类, 公立	计算机科学	2020	64	64
兰卡斯特大学	Lancaster University	英国, 欧洲	计算机科学	2020	65	65
剑桥大学	University of Cambridge	英国, 欧洲	计算机科学	2020	66	66
香港大学	The University of Hong Kong	中国香港, 亚洲	计算机科学	2020	67	67
深圳大学	Shenzhen University	中国, 亚洲, 广东, 综合类, 公立	计算机科学	2020	68	68
爱丁堡大学	The University of Edinburgh	英国, 欧洲	计算机科学	2020	69	69
萨克雷大学(巴黎第十一大学)	Universite Paris Saclay (university of Paris-sud, Paris 11)	法国, 欧洲	计算机科学	2020	70	70
米兰理工大学	Polytechnic Institute of Milan	意大利, 欧洲	计算机科学	2020	71	71
埃朗根-纽伦堡大学	University of Erlangen, Nuremberg	德国, 欧洲	计算机科学	2020	71	71
成均馆大学	Sungkyunkwan University	韩国, 亚洲	计算机科学	2020	73	73
西北工业大学	Northwestern Polytechnical University	中国, 亚洲, 双一流, 985, 211, 陕西, 理工类, 公立	计算机科学	2020	74	74
阿尔伯塔大学	University of Alberta	加拿大, 北美洲	计算机科学	2020	75	75
马里兰大学-大学城	University of Maryland, College Park	美国, 北美洲	计算机科学	2020	75	75
萨里大学	University of Surrey	英国, 欧洲	计算机科学	2020	77	77
亚利桑那州立大学	Arizona State University	美国, 北美洲	计算机科学	2020	78	78
中南大学	Central South University	中国, 亚洲, 双一流, 985, 211, 湖南, 综合类, 公立	计算机科学	2020	79	79
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	计算机科学	2020	79	79
阿卜杜拉国王科技大学	King Abdullah University of Science And Technology	沙特, 亚洲	计算机科学	2020	81	81
里昂大学	Universite De Lyon (comue)	法国, 欧洲	计算机科学	2020	81	81
大连理工大学	Dalian University of Technology	中国, 亚洲, 双一流, 985, 211, 辽宁, 理工类, 公立	计算机科学	2020	83	83
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	计算机科学	2020	84	84
牛津大学	University of Oxford	英国, 欧洲	计算机科学	2020	84	84
密歇根州立大学	Michigan State University	美国, 北美洲	计算机科学	2020	86	86
迪肯大学	Deakin University	澳大利亚, 大洋洲	计算机科学	2020	87	87
维也纳工业大学	Vienna University of Technology	奥地利, 欧洲	计算机科学	2020	88	88
康奈尔大学	Cornell University	美国, 北美洲	计算机科学	2020	89	89
伦敦国王学院	King's College London	英国, 欧洲	计算机科学	2020	89	89
南安普敦大学	University of Southampton	英国, 欧洲	计算机科学	2020	91	91
北京交通大学	Beijing Jiaotong University	中国, 亚洲, 211, 北京, 理工类, 公立	计算机科学	2020	92	92
同济大学	Tongji University	中国, 亚洲, 双一流, 985, 211, 上海, 综合类, 公立	计算机科学	2020	93	93
东北大学，沈阳	Northeastern University, Shenyang	中国, 亚洲, 双一流, 985, 211, 辽宁, 理工类, 公立	计算机科学	2020	94	94
宾夕法尼亚州立大学-大学城	Pennsylvania State University, University Park	美国, 北美洲	计算机科学	2020	94	94
卡塔尔大学	Qatar University	卡塔尔, 亚洲	计算机科学	2020	96	96
中国地质大学，武汉	China University of Geosciences, Wuhan	中国, 亚洲, 211, 湖北, 理工类, 公立	计算机科学	2020	97	97
高丽大学	Korea University	韩国, 亚洲	计算机科学	2020	98	98
皇家墨尔本理工大学	RMIT University	澳大利亚, 大洋洲	计算机科学	2020	99	99
奥尔堡大学	Aalborg University	丹麦, 欧洲	计算机科学	2020	100	100
