大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	QS世界大学排名	2019	1	1
斯坦福大学	Stanford University	美国, 北美洲	QS世界大学排名	2019	2	2
哈佛大学	Harvard University	美国, 北美洲	QS世界大学排名	2019	3	3
加州理工学院	California Institute of Technology	美国, 北美洲	QS世界大学排名	2019	4	4
芝加哥大学	University of Chicago	美国, 北美洲	QS世界大学排名	2019	9	9
普林斯顿大学	Princeton University	美国, 北美洲	QS世界大学排名	2019	13	13
康奈尔大学	Cornell University	美国, 北美洲	QS世界大学排名	2019	14	14
耶鲁大学	Yale University	美国, 北美洲	QS世界大学排名	2019	15	15
哥伦比亚大学	Columbia University	美国, 北美洲	QS世界大学排名	2019	16	16
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	QS世界大学排名	2019	19	19
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	QS世界大学排名	2019	20	20
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	QS世界大学排名	2019	21	21
杜克大学	Duke University	美国, 北美洲	QS世界大学排名	2019	26	26
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	QS世界大学排名	2019	27	27
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	QS世界大学排名	2019	32	32
西北大学，埃文斯顿	Northwestern University	美国, 北美洲	QS世界大学排名	2019	34	34
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	QS世界大学排名	2019	41	41
纽约大学	New York University	美国, 北美洲	QS世界大学排名	2019	43	43
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	QS世界大学排名	2019	46	46
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	QS世界大学排名	2019	53	53
布朗大学	Brown University	美国, 北美洲	QS世界大学排名	2019	56	56
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	QS世界大学排名	2019	63	63
华盛顿大学-西雅图	University of Washington	美国, 北美洲	QS世界大学排名	2019	66	66
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	QS世界大学排名	2019	69	=69
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	QS世界大学排名	2019	71	71
北卡罗来纳大学-教堂山	University of North Carolina At Chapel Hill	美国, 北美洲	QS世界大学排名	2019	83	=83
莱斯大学	Rice University	美国, 北美洲	QS世界大学排名	2019	87	=87
俄亥俄州立大学-哥伦布	The Ohio State University, Columbus	美国, 北美洲	QS世界大学排名	2019	89	89
波士顿大学	Boston University	美国, 北美洲	QS世界大学排名	2019	93	=93
宾夕法尼亚州立大学-大学城	Pennsylvania State University, University Park	美国, 北美洲	QS世界大学排名	2019	95	95
普渡大学-西拉法叶	Purdue University, West Lafayette	美国, 北美洲	QS世界大学排名	2019	100	=100
加州大学-戴维斯	University of California, Davis	美国, 北美洲	QS世界大学排名	2019	100	=100
华盛顿大学-圣路易斯	Washington University In St. Louis	美国, 北美洲	QS世界大学排名	2019	100	=100
南加州大学	University of Southern California	美国, 北美洲	QS世界大学排名	2019	115	115
马里兰大学-大学城	University of Maryland, College Park	美国, 北美洲	QS世界大学排名	2019	126	=126
加州大学-圣塔芭芭拉	University of California, Santa Barbara	美国, 北美洲	QS世界大学排名	2019	132	=132
匹兹堡大学	University of Pittsburgh	美国, 北美洲	QS世界大学排名	2019	136	136
密歇根州立大学	Michigan State University	美国, 北美洲	QS世界大学排名	2019	141	=141
埃莫里大学	Emory University	美国, 北美洲	QS世界大学排名	2019	148	148
明尼苏达大学-双城	University of Minnesota, Twin Cities	美国, 北美洲	QS世界大学排名	2019	156	=156
加州大学-欧文	University of California, Irvine	美国, 北美洲	QS世界大学排名	2019	169	169
佛罗里达大学	University of Florida	美国, 北美洲	QS世界大学排名	2019	180	=180
达特茅斯学院	Dartmouth College	美国, 北美洲	QS世界大学排名	2019	183	183
罗切斯特大学	University of Rochester	美国, 北美洲	QS世界大学排名	2019	184	=184
凯斯西储大学	Case Western Reserve University	美国, 北美洲	QS世界大学排名	2019	186	=186
科罗拉多大学-玻尔得	University of Colorado At Boulder	美国, 北美洲	QS世界大学排名	2019	190	190
弗吉尼亚大学	University of Virginia	美国, 北美洲	QS世界大学排名	2019	192	192
范德堡大学	Vanderbilt University	美国, 北美洲	QS世界大学排名	2019	195	=195
德州农工大学	Texas A&m University	美国, 北美洲	QS世界大学排名	2019	203	203
亚利桑那州立大学	Arizona State University	美国, 北美洲	QS世界大学排名	2019	212	=212
圣母玛利亚大学	University of Notre Dame	美国, 北美洲	QS世界大学排名	2019	212	=212
伊利诺伊大学芝加哥分校	University of Illinois At Chicago	美国, 北美洲	QS世界大学排名	2019	214	=214
乔治城大学	Georgetown University	美国, 北美洲	QS世界大学排名	2019	226	226
塔夫茨大学	Tufts University	美国, 北美洲	QS世界大学排名	2019	237	=237
迈阿密大学	University of Miami	美国, 北美洲	QS世界大学排名	2019	242	=242
亚利桑那大学	University of Arizona	美国, 北美洲	QS世界大学排名	2019	246	246
马萨诸塞大学-阿默斯特	University of Massachusetts Amherst	美国, 北美洲	QS世界大学排名	2019	259	259
