大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	QS世界大学排名	2014	1	1
哈佛大学	Harvard University	美国, 北美洲	QS世界大学排名	2014	2	2
剑桥大学	University of Cambridge	英国, 欧洲	QS世界大学排名	2014	3	3
伦敦大学学院	University College London	英国, 欧洲	QS世界大学排名	2014	4	4
帝国理工学院	Imperial College London	英国, 欧洲	QS世界大学排名	2014	5	5
牛津大学	University of Oxford	英国, 欧洲	QS世界大学排名	2014	6	6
斯坦福大学	Stanford University	美国, 北美洲	QS世界大学排名	2014	7	7
耶鲁大学	Yale University	美国, 北美洲	QS世界大学排名	2014	8	8
芝加哥大学	University of Chicago	美国, 北美洲	QS世界大学排名	2014	9	9
加州理工学院	California Institute of Technology	美国, 北美洲	QS世界大学排名	2014	10	=10
普林斯顿大学	Princeton University	美国, 北美洲	QS世界大学排名	2014	10	=10
苏黎世联邦理工学院	Swiss Federal Institute of Technology Zurich	瑞士, 欧洲	QS世界大学排名	2014	12	12
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	QS世界大学排名	2014	13	13
哥伦比亚大学	Columbia University	美国, 北美洲	QS世界大学排名	2014	14	14
康奈尔大学	Cornell University	美国, 北美洲	QS世界大学排名	2014	15	15
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	QS世界大学排名	2014	16	16
爱丁堡大学	The University of Edinburgh	英国, 欧洲	QS世界大学排名	2014	17	=17
多伦多大学	University of Toronto	加拿大, 北美洲	QS世界大学排名	2014	17	=17
洛桑联邦理工学院	Swiss Federal Institute of Technology Lausanne	瑞士, 欧洲	QS世界大学排名	2014	19	=19
伦敦国王学院	King's College London	英国, 欧洲	QS世界大学排名	2014	19	=19
麦吉尔大学	Mcgill University	加拿大, 北美洲	QS世界大学排名	2014	21	21
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	QS世界大学排名	2014	22	22
杜克大学	Duke University	美国, 北美洲	QS世界大学排名	2014	23	23
新加坡国立大学	National University of Singapore	新加坡, 亚洲	QS世界大学排名	2014	24	24
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	QS世界大学排名	2014	25	25
香港大学	The University of Hong Kong	中国香港, 亚洲	QS世界大学排名	2014	26	26
澳大利亚国立大学	The Australian National University	澳大利亚, 大洋洲	QS世界大学排名	2014	27	27
巴黎高等师范学校	Ecole Normale Superieure, Paris	法国, 欧洲	QS世界大学排名	2014	28	28
西北大学，埃文斯顿	Northwestern University	美国, 北美洲	QS世界大学排名	2014	29	29
布里斯托尔大学	University of Bristol	英国, 欧洲	QS世界大学排名	2014	30	30
墨尔本大学	The University of Melbourne	澳大利亚, 大洋洲	QS世界大学排名	2014	31	31
东京大学	The University of Tokyo	日本, 亚洲	QS世界大学排名	2014	32	32
曼彻斯特大学	The University of Manchester	英国, 欧洲	QS世界大学排名	2014	33	33
香港科技大学	The Hong Kong University of Science And Technology	中国香港, 亚洲	QS世界大学排名	2014	34	34
京都大学	Kyoto University	日本, 亚洲	QS世界大学排名	2014	35	=35
