大学名称	大学英文名称	大学标签	排名名称	年份	当前排名（取整）	当前排名（原始数据）
麻省理工学院	Massachusetts Institute of Technology, MIT	美国, 北美洲	计算机科学	2024	1	1
卡内基梅隆大学	Carnegie Mellon University	美国, 北美洲	计算机科学	2024	2	=2
斯坦福大学	Stanford University	美国, 北美洲	计算机科学	2024	2	=2
加州大学-伯克利	University of California, Berkeley	美国, 北美洲	计算机科学	2024	5	5
哈佛大学	Harvard University	美国, 北美洲	计算机科学	2024	7	7
普林斯顿大学	Princeton University	美国, 北美洲	计算机科学	2024	14	14
康奈尔大学	Cornell University	美国, 北美洲	计算机科学	2024	17	17
华盛顿大学-西雅图	University of Washington	美国, 北美洲	计算机科学	2024	18	18
加州大学-洛杉矶	University of California, Los Angeles	美国, 北美洲	计算机科学	2024	19	19
哥伦比亚大学	Columbia University	美国, 北美洲	计算机科学	2024	23	=23
纽约大学	New York University	美国, 北美洲	计算机科学	2024	23	=23
伊利诺伊大学厄巴纳-香槟分校	University of Illinois At Urbana-champaign	美国, 北美洲	计算机科学	2024	25	25
佐治亚理工学院	Georgia Institute of Technology	美国, 北美洲	计算机科学	2024	28	28
德克萨斯州大学-奥斯汀	The University of Texas At Austin	美国, 北美洲	计算机科学	2024	30	30
耶鲁大学	Yale University	美国, 北美洲	计算机科学	2024	33	33
宾夕法尼亚大学	University of Pennsylvania	美国, 北美洲	计算机科学	2024	38	=38
加州理工学院	California Institute of Technology	美国, 北美洲	计算机科学	2024	41	=41
密歇根大学-安娜堡	University of Michigan-ann Arbor	美国, 北美洲	计算机科学	2024	41	=41
马里兰大学-大学城	University of Maryland, College Park	美国, 北美洲	计算机科学	2024	49	49
加州大学-圣地亚哥	University of California, San Diego	美国, 北美洲	计算机科学	2024	51	51
芝加哥大学	University of Chicago	美国, 北美洲	计算机科学	2024	56	=56
南加州大学	University of Southern California	美国, 北美洲	计算机科学	2024	56	=56
约翰霍普金斯大学	Johns Hopkins University	美国, 北美洲	计算机科学	2024	67	67
普渡大学-西拉法叶	Purdue University, West Lafayette	美国, 北美洲	计算机科学	2024	69	=69
杜克大学	Duke University	美国, 北美洲	计算机科学	2024	83	83
宾夕法尼亚州立大学-大学城	Pennsylvania State University, University Park	美国, 北美洲	计算机科学	2024	94	94
威斯康星大学-麦迪逊	University of Wisconsin, Madison	美国, 北美洲	计算机科学	2024	110	=110
波士顿大学	Boston University	美国, 北美洲	计算机科学	2024	113	=113
加州大学-欧文	University of California, Irvine	美国, 北美洲	计算机科学	2024	120	120
布朗大学	Brown University	美国, 北美洲	计算机科学	2024	128	=128
马萨诸塞大学-阿默斯特	University of Massachusetts Amherst	美国, 北美洲	计算机科学	2024	130	130
德州农工大学	Texas A&m University	美国, 北美洲	计算机科学	2024	135	135
西北大学，埃文斯顿	Northwestern University	美国, 北美洲	计算机科学	2024	139	=139
亚利桑那州立大学	Arizona State University	美国, 北美洲	计算机科学	2024	155	=155
密歇根州立大学	Michigan State University	美国, 北美洲	计算机科学	2024	161	161
弗吉尼亚理工学院	Virginia Polytechnic Institute And State University	美国, 北美洲	计算机科学	2024	168	=168
东北大学，波士顿	Northeastern University, Boston	美国, 北美洲	计算机科学	2024	175	=175
北卡罗来纳大学-教堂山	University of North Carolina At Chapel Hill	美国, 北美洲	计算机科学	2024	178	=178
伊利诺伊大学芝加哥分校	University of Illinois At Chicago	美国, 北美洲	计算机科学	2024	183	183
罗格斯大学新布朗斯维克分校	Rutgers, The State University of New Jersey - New Brunswick	美国, 北美洲	计算机科学	2024	187	=187
俄亥俄州立大学-哥伦布	The Ohio State University, Columbus	美国, 北美洲	计算机科学	2024	193	=193
佛罗里达大学	University of Florida	美国, 北美洲	计算机科学	2024	198	=198
明尼苏达大学-双城	University of Minnesota, Twin Cities	美国, 北美洲	计算机科学	2024	198	=198
印第安纳大学-布鲁明顿	Indiana University Bloomington	美国, 北美洲	计算机科学	2024	201	201-250
北卡罗来纳州立大学-罗利	North Carolina State University, Raleigh	美国, 北美洲	计算机科学	2024	201	201-250
莱斯大学	Rice University	美国, 北美洲	计算机科学	2024	201	201-250
加州大学-戴维斯	University of California, Davis	美国, 北美洲	计算机科学	2024	201	201-250
加州大学-圣塔芭芭拉	University of California, Santa Barbara	美国, 北美洲	计算机科学	2024	201	201-250
匹兹堡大学	University of Pittsburgh	美国, 北美洲	计算机科学	2024	201	201-250
弗吉尼亚大学	University of Virginia	美国, 北美洲	计算机科学	2024	201	201-250
纽约州立大学-石溪	Stony Brook University	美国, 北美洲	计算机科学	2024	251	251-300
爱荷华州立大学	Iowa State University	美国, 北美洲	计算机科学	2024	301	301-350
亚利桑那大学	University of Arizona	美国, 北美洲	计算机科学	2024	301	301-350
中佛罗里达大学	University of Central Florida	美国, 北美洲	计算机科学	2024	301	301-350
圣母玛利亚大学	University of Notre Dame	美国, 北美洲	计算机科学	2024	301	301-350
罗切斯特大学	University of Rochester	美国, 北美洲	计算机科学	2024	301	301-350
德克萨斯大学-达拉斯	The University of Texas At Dallas	美国, 北美洲	计算机科学	2024	301	301-350
达特茅斯学院	Dartmouth College	美国, 北美洲	计算机科学	2024	351	351-400
佛罗里达州立大学	Florida State University	美国, 北美洲	计算机科学	2024	351	351-400
乔治华盛顿大学	The George Washington University	美国, 北美洲	计算机科学	2024	351	351-400
佐治亚州立大学	Georgia State University	美国, 北美洲	计算机科学	2024	351	351-400
伊利诺伊理工大学	Illinois Institute of Technology	美国, 北美洲	计算机科学	2024	351	351-400
罗切斯特理工学院	Rochester Institute of Technology	美国, 北美洲	计算机科学	2024	351	351-400
科罗拉多大学-玻尔得	University of Colorado At Boulder	美国, 北美洲	计算机科学	2024	351	351-400
华盛顿大学-圣路易斯	Washington University In St. Louis	美国, 北美洲	计算机科学	2024	351	351-400
凯斯西储大学	Case Western Reserve University	美国, 北美洲	计算机科学	2024	401	401-450
纽约城市大学-城市学院	City University of New York City College	美国, 北美洲	计算机科学	2024	401	401-450
乔治梅森大学	George Mason University	美国, 北美洲	计算机科学	2024	401	401-450
纽约州立大学-布法罗	University At Buffalo, The State University of New York	美国, 北美洲	计算机科学	2024	401	401-450
加州大学-圣克鲁兹	University of California, Santa Cruz	美国, 北美洲	计算机科学	2024	401	401-450
犹他大学	University of Utah	美国, 北美洲	计算机科学	2024	401	401-450
范德堡大学	Vanderbilt University	美国, 北美洲	计算机科学	2024	401	401-450
华盛顿州立大学-普尔曼	Washington State University	美国, 北美洲	计算机科学	2024	401	401-450
德雷塞尔大学	Drexel University	美国, 北美洲	计算机科学	2024	451	451-500
埃莫里大学	Emory University	美国, 北美洲	计算机科学	2024	451	451-500
乔治城大学	Georgetown University	美国, 北美洲	计算机科学	2024	451	451-500
坦普尔大学	Temple University	美国, 北美洲	计算机科学	2024	451	451-500
休斯顿大学	University of Houston	美国, 北美洲	计算机科学	2024	451	451-500
伦斯勒理工学院	Rensselaer Polytechnic Institute	美国, 北美洲	计算机科学	2024	501	501-550
阿拉巴马大学	The University of Alabama, Tuscaloosa	美国, 北美洲	计算机科学	2024	501	501-550
加州大学-河滨	University of California, Riverside	美国, 北美洲	计算机科学	2024	501	501-550
夏威夷大学马诺阿分校	University of Hawaii At Manoa	美国, 北美洲	计算机科学	2024	501	501-550
佛罗里达国际大学	Florida International University	美国, 北美洲	计算机科学	2024	551	551-600
雪城大学	Syracuse University	美国, 北美洲	计算机科学	2024	551	551-600
德克萨斯技术大学	Texas Tech University	美国, 北美洲	计算机科学	2024	551	551-600
田纳西大学-诺克斯维尔	University of Tennessee, Knoxville	美国, 北美洲	计算机科学	2024	551	551-600
肯塔基大学	University of Kentucky	美国, 北美洲	计算机科学	2024	551	551-600
马里兰大学-巴尔的摩县	University of Maryland, Baltimore County	美国, 北美洲	计算机科学	2024	551	551-600
密苏里大学-哥伦比亚	University of Missouri, Columbia	美国, 北美洲	计算机科学	2024	551	551-600
南卡罗来纳大学-哥伦比亚	University of South Carolina, Columbia	美国, 北美洲	计算机科学	2024	551	551-600
南佛罗里达大学	University of South Florida	美国, 北美洲	计算机科学	2024	551	551-600
纽约州立大学宾汉姆顿大学	Binghamton University	美国, 北美洲	计算机科学	2024	601	601-650
路易斯安娜州立大学-巴吞鲁日	Louisiana State University, Baton Rouge	美国, 北美洲	计算机科学	2024	601	601-650
辛辛那提大学	University of Cincinnati	美国, 北美洲	计算机科学	2024	601	601-650
迈阿密大学	University of Miami	美国, 北美洲	计算机科学	2024	601	601-650
克莱姆森大学	Clemson University	美国, 北美洲	计算机科学	2024	651	651-700
佐治亚大学	University of Georgia	美国, 北美洲	计算机科学	2024	651	651-700
德克萨斯大学-阿灵顿	The University of Texas At Arlington	美国, 北美洲	计算机科学	2024	651	651-700
塔夫茨大学	Tufts University	美国, 北美洲	计算机科学	2024	651	651-700
康涅狄格大学-斯道思	University of Connecticut	美国, 北美洲	计算机科学	2024	651	651-700
